sku,mfgn,qty,qtynj,qtyfl,price,map,mrp
10020,2228,55,22,33,4.88,,
10021,6001,7,3,4,77.81,,
10024,6003,7,2,5,77.81,,
10025,1928.3,5,3,2,143.44,,
10026,6002,4,2,2,42.80,,
10027,1927.3,3,0,3,325.16,,
10030,9283.3,5,2,3,372.73,,
10341,X-10-M,5,3,2,36.62,,
10342,SS-1002,6,6,0,243.92,,
10345,SS-2000,3,1,2,420.73,,
10348,FN-201,5,2,3,355.06,,
10349,BN-202,4,2,2,384.99,,
10350,SP-5-B,0,0,0,866.62,,
10351,F-50,10,8,2,72.69,,
10352,SS-5000,2,0,2,763.25,,
10353,F-50W,8,3,5,72.69,,
10354,B-51,11,2,9,71.48,,
10355,S-53,9,8,1,71.48,,
10357,V-57W.2,6,2,4,74.51,,
10360,HF-742,4,2,2,215.41,,
10361,HF-743,6,4,2,215.41,,
10366,B-80,5,3,2,139.99,,
10367,B-81,2,0,2,154.19,,
10368,F-82,4,3,1,147.53,,
10369,F-83,7,3,4,147.53,,
10373,RU-90,4,2,2,132.07,,
10374,DNB-200,0,0,0,514.45,,
10377,DNP-200,0,0,0,514.45,,
10378,YB-500,0,0,0,1158.00,,
10391,220SW,5,5,0,33.33,,
10394,MMB-84,29,15,14,12.00,,
10442,SP-80-3,0,0,0,2484.30,,
10446,SRA-1,2,1,1,525.00,,
10472,SP-70-3,1,0,1,2484.30,,
10532,X-11Y,6,3,3,44.79,,
10533,FNW-201,4,2,2,355.06,,
10534,HF-742W,1,1,0,215.41,,
10535,HF-743W,5,3,2,215.41,,
10536,F-82W,8,2,6,147.53,,
10537,F-83W,4,3,1,147.53,,
10539,RA-91,2,1,1,71.48,,
10540,RA-93,6,3,3,71.48,,
10541,BN-C,9,3,6,28.50,,
10545,LL-C,0,0,0,34.29,,
10548,N-203-C,5,2,3,26.40,,
10549,NC-20,2,1,1,34.29,,
10550,GM-5-C,3,2,1,54.96,,
10552,010-10117-02,0,0,0,11.69,,
10563,010-10085-00,30,10,20,12.81,,
