SKU|Description|Date Created|DimensionH|DimensionL|DimensionW|Manufacturer|Image URL|Thumbnail URL|UPC Code|Weight|Weight Units|Category|Subcategory|Status|MAP|MSRP|MPN|MINIMUM ORDER QUANTITY|Detailed Description|Shipping Weight|Shipping Length|Shipping Width|Shipping Height|Attribute 1|Attribute 2|Attribute 3|Attribute 4|Attribute 5|Attribute 6|Attribute 7|Prop 65 Warning|Prop 65 Reason|Country of Origin|Ground Shipping Required
835307|Scientific Anglers Vest Pack Assortment|2009-09-16 11:21:29|0.5|9|5.5|Scientific Anglers|https://www.lotpicture.com/Scientific%20Anglers/835307.jpg|https://www.lotpicture.com/Scientific%20Anglers/835307.jpg|840309102353|0.17|lb|Fishing| Fly Fishing|Manufacturer Discontinued|0.0|16.95|835306|1|"The 3M Scientific Anglers Vest Pack Assortment comes with many basic fly fishing tools in one convenient pack.  The retractor stretches to 15"" and has a pin-back attachment.  The nipper is a multi-purpose handle tool that quickly clears hook eyes and has a hardened edge that stays sharp for reliable cutting.  The forceps locks securely with its serrated jaws in three positions, and the leader straightner eliminates coils in leaders."|0.18|7.9|3.85|0.85|"Retractor: stretches to 15"" (38cm), pin-back attachment"|Nipper, multi-purpose tool that handles many tasks: hardened steel construction for lasting value, eyeopener feature quickly clears hook eyes, hardened edge stays sharper for reliable cutting|Forceps: lock securely in three positions, serrated jaws grasp securely and hold on|Leader straightener: straightens leaders to eliminate coils, works great on wet and dry leaders|||123|F|N/A|US|NO
005162|Cold Steel Kukri Machete|2009-09-16 11:58:20||||Cold Steel|https://www.lotpicture.com/COLD%20STEEL/005162.jpg|https://www.lotpicture.com/COLD%20STEEL/005162.jpg|705442005162|0.088125|lb|Camping| Tools|Manufacturer Discontinued|0.0|34.99|CS-97KMS|1|"There's no single edged weapon that can out-chop or out-cut a Cold Steel Kukri. Plows through the toughest chores life can dish out. The Kukri has the distinctive weight-forward balance of Cold Steel's ""top-of-the-line"" models. This Kukri always presents it's edge on an angle so it is guaranteed to ""bite"" deep with every stroke. The comfortably formed polypropylene handle will not deteriorate from the elements. Includes Cor-Ex Sheath."|1.42|19.25|4.0|1.5|1055 medium carbon steel blades with a black baked on finish|distinctive weight-forward balance|comfortable and durable PVC handles|Includes Cordura sheath||Blade Length (Inches): 13, Full Length: 18 , Thickness: 0.1082|Material: Blade - 1055 Carbon, Handle - Polypropylene(Plain Edge)|F||ZA|NO
645078|Wheeler Engineering Space Saver Screwdriver Set|2009-09-16 12:40:04|2.00|8.50|2.75|Wheeler|https://www.lotpicture.com/Wheeler/645078.jpg|https://www.lotpicture.com/Wheeler/645078.jpg|661120645078|1.09|lb|Shooting| Gun Care, Tools|Manufacturer Discontinued|0.0|17.99|664507|1|The Wheeler Engineering Space-Saver Screwdriver Set is less than half the size of comparable gunsmithing screwdriver sets. The Wheeler Space Saver Gunsmithing Screwdriver Set takes up very little space on your bench, but contains a durable and comprehensive set of 26 bits chosen to meet most of your gunsmithing needs. It’s also the perfect size to include on your trips to the range and the field. Included with the standard, Phillips, hex, and torx bits, is a 2 inch long #2 Phillips bit which is ideal for recoil pad installation, and a hex-to-square conversion bit which allows you to use 0.25 inch square drive sockets and other attachments. The magnetic handle is perfectly sized for gunsmithing needs, allowing you to carry a variety of bits if the need should arise. The bits in these sets are designed to break before damaging the fastener itself. Breakage of a bit should not be considered a defect, rather it means that the fastener will require some other means of removal or an application of a suitable compound that will penetrate threads, such as Kano Kroil.|1.1|9.75|8.25|1.75|Includes a selection of the same high quality bits found in the Professional Gunsmithing Screwdriver Sets|Includes standard Phillips, hex and torx bits|1  2 inch long #2 Phillips but which is ideal for recoil pad installation|"1 hex-to-square conversion bit which allows you to use 1/4"" square drive sockets and other attachments"|1 magnetic handle is made of comfortable overmolded plastic|||T|WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov|CN|NO
BGQS20|Berkley Big Game Boxed Spool 20lb Clear|2009-09-16 20:13:55||||Berkley|||028632028292|0.5|lb|Fishing| Line, Monofilament|Manufacturer Discontinued|0.0|9.39|1068349|1|Extreme fighting power for big fish. Super strong and shock reistant. Extra tough and abrasion resistant with an outstanding knot strength. 1/4 lb. spools. Boxed. LB Test: 20. Yards: 650. Color: Clear.|0.5|3.0|3.0|4.0||||||||F||US|NO
074942|Cobra Carbon Launcher|2010-01-23 14:12:30||||Cobra Archery|https://www.lotpicture.com/Cobra%20Archery/074942.jpg|https://www.lotpicture.com/Cobra%20Archery/074942.jpg|010989404959|0.03|lb|Archery| Releases|Manufacturer Discontinued|0.0|14.95|074942|1||0.04|6.95|4.0|0.65||||||||T|WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects, or other reproductive harm. For more information go to www.p65warnings.ca.gov|US|NO
6305624|SA Sports Panther Compound Youth Bow Set 562|2012-03-19 20:32:03|2|34|12|SA Sports|https://www.lotpicture.com/SA%20Sports/6305624.jpg|https://www.lotpicture.com/SA%20Sports/6305624.jpg|609456305624|1.53|lb|Archery| Youth|Manufacturer Discontinued|0.0|49.99|562|1|The SA Sports Panther Youth Compound Bow Set is the perfect way to introduce kids to compound bows. The Panther is easy to draw with a 10 pound draw weight and a 21 inch draw length. The set includes a finger tab and arm guard for the comfort and safety of young archers as they learn basic archery techniques. Comfort grip is compatible with right or left hand use. With a hip quiver, 2 target arrows, and a target face, this set is has everything your young hunter needs to start learning.|1.54|33.75|11.5|1.75|10 pound draw weight; 21 inch draw length|Includes finger tab and arm guard for comfort and safety|Comes equipped with a hip quiver, 2 target arrows, and a target face|Bow grip is compatible with right or left-handed users|Easy draw allows kids to perfect their technique|||F|N/A|TW|NO
6305587|SA Sports Dragon Eyez 7.26 1500 Yard Rangefinder 558|2012-03-19 20:32:16|3|7|5|SA Sports|https://www.lotpicture.com/SA%20Sports/6305587.jpg|https://www.lotpicture.com/SA%20Sports/6305587.jpg|609456305587|0.98|lb|Optics and Sights| Rangefinders|Manufacturer Discontinued|0.0|229.99|558|1|It doesn’t matter if the shot you’re lining up is a 31 yard monster buck you’re hunting with a crossbow, a 600 yard shot across the ridge at a trophy caribou, or a 140 yard shot with your seven iron at the golf course – the Dragon Eyez rangefinder will be right at home in any of these situations. With water resistance and a rain mode, this rangefinder is suitable for outdoor use in whatever weather comes your way. The Dragon Eyez rangefinder comes with a hard protective case, a lanyard, and a lens cloth. At a distance of 1,000 yards, the field of view is an impressive 105 yards, making sure you can line up an accurate shot.|0.99|7.15|5.5|2.85|1500 yard maximum range, reflective surface|Package includes hard protective case, lanyard, and lens cloth|Water resistant, equipped with a rain display mode; LCD display|Field of view is 105 yards at 1000 yards; 7x magnification|Uses AAA batteries, not included||123|F|N/A|CN|NO
810266|Troy OEM Sling Mount-FDE|2013-02-08 16:39:06||||Troy Industries|https://www.lotpicture.com/Troy%20Industries/810266.jpg|https://www.lotpicture.com/Troy%20Industries/810266.jpg|812699010266|0.21|lb|Shooting| Slings and Swivels|Manufacturer Discontinued|0.0|48.0|SMOU-M4S-00FT-00|1|Troy Professional Grade and M4 BattleSling Mounts and adapters, swivel mounts and other sling accessories are all made from hardened aircraft aluminum with stainless steel push down buttons. Mount is flat dark earth and weighs in at 1.78 ounces! It accepts SSQD Swivel, supports Sling size up to 1 ¼”.|0.22|8.05|5.9|1.1|Hardened aircraft aluminum with stainless steel push down button|Mount is flat dark earth|It accepts SSQD Swivel|Supports Sling size up to 1 ¼”||stainless steel push down buttons|weighs in at 1.78 ounces|T|Warning: This product may contain chemicals known to the State of California to cause Cancer or Reproductive Harm. For more information, visit www.p65warnings.ca.gov.|US|NO
735564|Birchwood Casey Pregame Saloon Shootout 12x18 Target 8PK|2013-02-26 19:36:50|18|0.1|12.25|Birchwood Casey|https://www.lotpicture.com/Birchwood%20Casey/735564.jpg|https://www.lotpicture.com/Birchwood%20Casey/735564.jpg|029057355642|0.6|lb|Shooting| Targets|Manufacturer Discontinued|0.0|12.99|BC-35564|1|Pregame Saloon Shootout Game Target 8 Pack - Fun for all ages! Improve your shooting skills with these colorful Dirty Bird style&lt; targets. Each shot will “halo” white so you instantly know where your shot has hit. Use them while shooting alone or appeal to your competitive side and try to beat your shooting partner! Head back to the old west with Saloon Shootout.|0.61|18.0|12.05|1.3|Shots on vital areas react in a highly-visible color|Bullet holes splatter on impact allowing you to immediately spot your shots |Build your confidence in equipment & shooting skills|||||F|N/A|US|NO
344551|Caldwell AR Bipod Prone Dessert Prone|2013-06-19 20:26:44|10|15.5|6|Caldwell|https://www.lotpicture.com/Caldwell/344551.jpg|https://www.lotpicture.com/Caldwell/344551.jpg|661120344551|0.8|lb|Shooting| Bipods and Monopods|Manufacturer Discontinued|0.0|74.99|534455|1|"The AR Bipods combine a quick attach system for securing to any picatinny rail with all the other outstanding features you have come to expect from Caldwell. Built in systems for both pivot and cant movements give the shooter maximum range of alignment without having to reposition the bipod. The unique internal spring system is both low profile and quiet. The unique leg adjustment mechanism delivers fast and secure, no-wobble height positioning. Rubber feet ensure good grip on all surfaces. Lightweight and durable anodized aluminum construction. Choose from sitting or prone models.  Tan.  Quickly attaches/detaches to any picatinny rail.  Lightweight and durable anodized aluminum construction.  Available in Matte Black finish or new Desert Tan.  Prone Model 7.5"" to 10""."|0.88|13.7|4.55|2.8|Quickly attaches/detaches to any picatinny rail.|Lightweight and durable anodized aluminum construction.|Available in Matte Black finish or new Desert Tan.|"Prone Model 7.5"" to 10""."|Rubber feet ensure good grip on all surfaces.|||T|WARNING: Cancer - www.P65Warnings.ca.gov.|CN|NO
