ItemNumber,Upc,MfgModelNumber,Quantity,Allocated,OnSale,Price,CurrentPrice,RetailMap
RURXM9,736676194001,19400,0,False,False,340,340,0
BU201213,000381012135,201213,0,False,False,1242.68,1242.68,1449.99
BM00-10006-BLK,604206200006,00-10006-BLK,2,False,False,810.66,810.66,935.38
BM00-10010-BLK,604206200167,00-10010-BLK,0,False,False,832.24,832.24,960.28
BM00-10007-BLK,604206200013,00-10007-BLK,1,False,False,1021.83,1021.83,1179.04
BM00-90002-BLK,604206200419,00-90002-BLK,3,False,False,807.58,807.58,931.82
KRKV10-PBL30,811607033564,KV10-PBL30,3,False,True,1159.99,1043.991,1339.99
YHM-2060-36,841812101574,YHM-2060-36,1,False,False,49.43,49.43,67.25
YHM-2060-M,841812101581,YHM-2060-M,1,False,False,49.43,49.43,67.25
KRKV45-PFD30,811607033601,KV45-PFD30,2,False,True,1183.99,1065.591,1369.99
WN7671-20MOA,656813106639,7671-20MOA,0,False,False,46.19,46.19,67.99
WN7671M,656813106622,7671M,4,False,False,46.19,46.19,67.99
WN7672M,656813106646,7672M,0,False,False,46.19,46.19,67.99
PF00831,847313008312,00831,7,False,False,29,29,35
SFXD4902,706397963002,XD4902,1,False,False,307,307,0
SFXD4903,706397963019,XD4903,2,False,False,286,286,0
SISOW63111,798681665181,SOW63111,0,False,False,608.69,608.69,799.99
BSBAR15RMGP,718356159289,BAR15RMGP,3,False,False,628.26,628.26,0
WCACPFS45A,810025501907,ACP-FS-45A,2,False,False,2564.55,2564.55,3472
WCACPFS45ASS,810025501914,ACP-FS-45A-SS,8,False,True,2659.09,2397.12,3600
WCACPCOM45,810025501044,ACP-COM-45,7,False,True,2499.55,2254.49,3384
WCACPCOM45A,810025501785,ACP-COM-45A,11,False,True,2564.55,2317.23,3472
WCACPCOM9SS,810025501808,ACP-COM-9-SS,1,False,False,2651.7,2651.7,3590
WCACPCP45,810025501068,ACP-CP-45,4,False,False,2499.55,2499.55,3384
WCACPCP45A,810025501846,ACP-CP-45A,8,False,True,2564.55,2305.79,3472
