SKU,RAPID RETAIL PRICE,MAP,MSRP,AVG SHIP COST,QTY
005162,25.28,0.0,34.99,10.43,2.0
074942,7.71,0.0,14.95,4.91,9.0
1001349,24.26,0.0,34.99,11.31,3.0
1003269,102.65,0.0,318.9,3.48,2.0
1006805,35.03,59.99,73.99,10.43,3.0
1107988,6.17,14.99,17.99,4.07,37.0
1107990,4.95,14.99,17.99,3.98,309.0
1107992,4.95,14.99,17.99,4.14,94.0
1108584,54.39,0.0,80.37,5.57,1.0
1109838,34.82,0.0,64.99,8.43,5.0
1109860,10.16,0.0,29.99,4.91,5.0
1110201,273.54,349.99,399.0,13.11,2.0
1110202,273.54,349.99,399.0,17.75,2.0
1110205,306.55,399.99,500.0,18.28,1.0
1110206,306.55,399.99,500.0,16.49,2.0
1110208,468.08,599.99,687.5,17.37,0.0
1112246,12.56,29.95,33.2,3.72,3.0
1113869,324.89,399.99,449.0,18.79,2.0
1113870,324.89,399.99,449.0,21.28,0.0
1113872,404.88,499.99,549.0,19.79,0.0
1113873,404.88,499.99,549.0,19.21,2.0
1114111,12.44,27.99,29.99,11.81,330.0
1114112,34.53,52.95,54.99,8.93,16.0
1114113,52.53,78.0,79.99,8.93,72.0
1114172,7.3,0.0,17.95,4.91,16.0
1114173,7.3,0.0,17.95,4.91,3.0
1114176,7.3,0.0,17.95,4.68,9.0
1114177,7.3,0.0,17.95,4.06,16.0
1114178,7.3,0.0,17.95,4.91,12.0
1115720,162.61,219.99,219.99,15.51,1.0
1119743,9.28,0.0,26.99,3.42,367.0
1119745,10.61,24.99,26.99,4.91,40.0
1119747,10.61,0.0,26.99,4.91,16.0
1119750,9.28,0.0,26.99,4.91,169.0
1119753,10.61,0.0,26.99,4.91,7.0
1121427,1.62,9.99,9.99,5.89,3863.0
1121491,72.9,129.99,129.99,11.97,443.0
1121492,5.6,9.99,9.99,3.91,307.0
1121509,17.63,0.0,59.0,10.94,37.0
1121544,28.03,49.95,49.99,4.33,738.0
1121987,3.5,10.99,15.99,4.2,16.0
1121990,50.895,69.99,84.99,4.91,2.0
1121992,7.209,13.99,19.99,4.91,2.0
1122006,9.14,0.0,11.95,4.91,1.0
1122016,19.86,0.0,26.95,3.79,1.0
1123559,14.67,0.0,29.99,13.18,4.0
1123626,24.86,0.0,41.05,3.93,23.0
1123640,20.27,0.0,33.3,4.91,9.0
1123647,30.21,0.0,49.85,4.91,4.0
1123653,19.86,0.0,32.65,4.91,9.0
1123654,21.58,0.0,35.6,4.91,9.0
1124510,34.13,79.96,99.95,10.43,3.0
1124515,26.28,50.96,59.95,10.43,1.0
1124519,17.51,39.96,49.95,10.43,4.0
1124521,35.04,50.96,59.95,10.43,1.0
1124523,17.85,39.96,49.95,10.43,4.0
1124524,18.02,39.96,49.95,10.43,2.0
1124531,19.47,43.96,54.95,10.43,5.0
1124532,19.47,43.96,54.95,10.43,5.0
1124680,10.2,13.97,14.97,4.91,2.0
1124683,101.92,144.97,149.97,8.27,1.0
1124701,42.88,59.97,64.97,3.93,1.0
1124732,67.57,89.97,94.97,8.77,3.0
1124762,26.79,36.97,39.97,4.5,2.0
1124765,10.15,14.97,16.97,4.91,4.0
1125215,17.43,0.0,25.99,3.85,1.0
1125221,21.07,0.0,31.99,4.91,2.0
1125226,10.15,0.0,15.99,3.85,1.0
1125229,21.89,0.0,32.99,4.91,5.0
1125233,30.82,0.0,45.99,7.05,2.0
1125241,19.04,0.0,28.99,3.65,2.0
1125242,22.72,0.0,33.99,4.25,1.0
1125335,23.09,0.0,34.99,4.91,1.0
1125338,55.62,0.0,109.99,8.98,1.0
1125339,34.62,0.0,51.99,10.43,4.0
1125343,66.51,0.0,98.99,10.43,2.0
1125344,74.16,0.0,109.99,10.46,3.0
1125355,28.38,0.0,41.99,4.91,1.0
1125357,127.14,0.0,138.99,16.26,2.0
1125358,17.69,0.0,26.99,4.91,4.0
1125361,28.38,0.0,41.99,4.91,3.0
1125370,72.16,0.0,78.99,10.94,4.0
1125373,32.78,0.0,48.99,5.31,1.0
1125376,30.82,0.0,45.99,5.57,1.0
1125383,77.28,0.0,84.99,13.23,8.0
1125399,19.88,0.0,29.99,4.91,2.0
1125404,16.93,0.0,25.99,3.42,11.0
1125408,74.16,0.0,109.99,10.43,3.0
1125409,24.09,0.0,35.99,4.36,4.0
1125412,89.01,0.0,125.99,10.63,1.0
1125414,74.16,0.0,109.99,10.94,1.0
1125420,17.43,0.0,25.99,3.55,2.0
1125422,98.88,0.0,139.99,11.6,1.0
1125427,34.62,0.0,51.99,10.43,2.0
1125658,443.45,599.99,599.99,22.52,2.0
1125737,8.26,0.0,14.99,3.57,0.0
1126465,3.59,10.99,12.99,4.91,307.0
1126466,3.59,10.99,12.99,4.91,278.0
1126467,3.59,10.99,12.99,4.91,374.0
1126472,4.95,9.99,9.99,4.91,54.0
1126496,66.23,0.0,144.99,14.69,1.0
1126812,2.25,,14.99,4.91,6682.0
1126830,22.6,0.0,30.0,4.91,1.0
1126918,54.76,84.96,99.95,10.43,1.0
1126928,104.08,161.46,189.95,10.43,1.0
1127242,22.54,0.0,31.99,4.91,1.0
1127257,4.21,0.0,7.99,8.68,209.0
1127270,3.22,0.0,4.99,3.39,3.0
1127392,4.78,10.99,12.99,4.91,378.0
1127423,23.1,0.0,54.99,13.56,6.0
1127439,143.43,0.0,256.5,10.94,3.0
1127787,516.67,809.0,899.0,17.75,1.0
1127835,156.31,299.0,345.0,9.26,6.0
1128973,7.01,20.99,20.99,4.91,5.0
1128975,7.01,20.99,20.99,4.91,7.0
1128978,152.0,0.0,169.95,11.15,5.0
1128979,132.0,0.0,149.95,10.56,18.0
1128981,10.44,0.0,19.99,4.91,60.0
1129016,36.41,0.0,80.75,10.43,25.0
1129017,42.51,0.0,80.75,10.43,1.0
1129034,29.54,0.0,65.5,12.42,3.0
1129040,39.39,0.0,65.5,8.49,3.0
1129078,39.39,0.0,65.5,10.43,1.0
1129092,19.07,0.0,47.0,4.03,13.0
1129098,137.0,0.0,245.0,10.43,3.0
1129166,108.19,0.0,280.58,24.77,2.0
1129167,108.19,0.0,280.58,24.77,1.0
1129311,47.25,0.0,122.55,10.43,2.0
1129328,31.35,0.0,81.31,4.91,1.0
1129330,31.35,0.0,81.31,4.91,2.0
1129331,31.35,0.0,81.31,4.91,2.0
1129332,31.35,0.0,81.31,4.91,2.0
1129334,31.35,0.0,81.31,4.91,1.0
1129335,31.35,0.0,81.31,4.91,2.0
1129336,31.35,0.0,81.31,4.91,2.0
1129338,31.35,0.0,81.31,4.91,1.0
1129343,103.85,0.0,269.33,4.91,1.0
1129344,114.84,0.0,297.83,4.91,1.0
1129345,109.34,0.0,283.58,4.91,1.0
1129346,120.33,0.0,312.08,4.91,1.0
1129347,120.33,0.0,312.08,4.91,1.0
1129348,125.82,0.0,326.33,4.91,1.0
1129349,109.34,0.0,283.58,4.91,1.0
1129351,109.34,0.0,283.58,4.91,1.0
1129352,120.33,0.0,312.08,4.91,1.0
1129354,103.85,0.0,269.33,4.91,1.0
1129355,114.84,0.0,297.83,4.91,1.0
1129356,114.84,0.0,297.83,4.91,1.0
1129388,92.3,144.95,144.99,10.94,1.0
1129402,102.26,0.0,99.99,13.78,2.0
1129418,6.74,0.0,9.99,4.91,2.0
1129419,5.06,0.0,9.99,4.91,1.0
1129454,160.938,229.95,259.99,4.91,1.0
1129541,22.49,41.65,49.0,3.98,1.0
1129566,8.44,12.8,16.0,4.91,3.0
1129567,21.86,39.2,49.0,4.91,2.0
1129884,1037.37,1299.99,1625.0,41.37,0.0
1129886,1037.37,1299.99,1625.0,40.99,2.0
1130130,125.65,169.99,169.99,10.38,2.0
1130134,125.65,169.99,169.99,12.68,2.0
1130166,591.28,799.99,799.99,19.24,2.0
1130171,591.28,799.99,799.99,18.91,2.0
1130374,2.36,0.0,4.79,3.85,20.0
1130766,69.38,89.99,89.99,15.0,1.0
1130804,12.28,21.49,21.49,4.91,6.0
1131350,14.61,0.0,24.99,4.91,11.0
1131565,129.7,223.0,223.0,4.91,2.0
1131569,88.95,153.0,153.0,4.91,1.0
1131595,92.51,212.0,212.0,4.91,3.0
1131634,164.66,283.0,283.0,4.91,2.0
1131848,3.56,7.99,9.99,4.91,3.0
1131849,5.121,9.99,12.99,4.91,1.0
1131872,3.08,6.99,8.99,4.91,4.0
1131875,10.638,20.99,25.99,6.06,3.0
1131884,9.57,21.99,26.99,4.91,1.0
1131983,18.66,29.89,29.89,10.94,1.0
1132015,49.71,0.0,79.99,23.59,2.0
1132034,22.95,0.0,36.99,4.91,13.0
1132035,22.95,0.0,36.99,3.87,8.0
1132828,15.18,0.0,19.99,4.91,12.0
1132830,22.77,0.0,29.99,10.43,17.0
1133293,18.39,31.79,31.79,4.91,8.0
1133300,13.5,23.99,23.99,10.43,5.0
1133309,24.55,41.99,41.99,8.23,2.0
1133333,167.22,0.0,219.99,4.91,2.0
1133348,36.74,0.0,49.99,8.77,2.0
1133356,19.0,0.0,29.99,4.91,2.0
1133409,79.69,169.99,179.99,16.38,3.0
1133415,15.0,29.99,32.99,10.43,5.0
1133419,15.0,29.99,32.99,4.55,2.0
1133476,98.42,0.0,199.99,8.77,1.0
1133478,98.42,0.0,199.99,8.77,1.0
1133490,63.98,0.0,129.99,4.91,1.0
1133492,63.98,0.0,129.99,8.77,1.0
1133968,26.41,0.0,54.95,3.81,11.0
1133970,26.41,0.0,54.95,4.91,11.0
1133972,26.41,0.0,54.95,5.32,1.0
1133973,26.41,0.0,54.95,6.12,1.0
1133997,18.74,0.0,38.95,4.91,2.0
1133998,12.02,0.0,24.95,4.91,5.0
1134053,1.97,0.0,3.06,9.57,141.0
1134384,52.06,0.0,83.99,4.91,2.0
1134508,145.33,0.0,167.95,5.79,19.0
1134524,144.31,0.0,200.0,4.91,4.0
1134526,152.24,0.0,211.0,8.77,3.0
1134528,157.29,0.0,218.0,10.43,4.0
1134529,157.29,0.0,218.0,10.43,4.0
1134530,165.95,0.0,230.0,10.43,4.0
1134534,149.36,0.0,207.0,10.43,4.0
1134535,157.29,0.0,218.0,10.43,2.0
1134537,165.95,0.0,230.0,10.43,1.0
1134538,216.46,0.0,300.0,10.43,1.0
1134540,233.05,0.0,323.0,10.43,3.0
1134541,187.6,0.0,260.0,10.43,1.0
1134543,125.54,0.0,174.0,10.43,1.0
1134548,17.32,0.0,24.0,4.91,2.0
1134556,42.57,0.0,59.0,4.91,2.0
1134573,33.19,0.0,46.0,9.73,1.0
1134575,33.19,0.0,46.0,4.91,4.0
1134588,68.54,0.0,95.0,4.91,1.0
1134589,42.57,0.0,59.0,4.91,3.0
1134590,7.839,17.99,22.99,7.76,1.0
1134696,23.67,34.99,38.99,10.43,2.0
1134729,149.625,214.99,257.99,13.78,6.0
1134730,291.717,398.99,419.99,10.25,1.0
1134731,244.701,335.99,356.99,14.69,4.0
1134732,260.226,356.99,377.99,15.6,4.0
1134733,275.742,377.99,398.99,15.6,1.0
