itemnumber,available,price1,price2,price3,qty1,qty2,qty3
00001,8,"23.80","","","1","",""
00002,0,"23.80","","","1","",""
00006,8,"23.80","","","1","",""
00007,4,"23.80","","","1","",""
00010,12,"23.80","","","1","",""
00011,3,"23.80","","","1","",""
00012297,2053,"8.95","","","1","",""
00048,5,"8.26","","","1","",""
00049,6,"17.80","","","1","",""
00050,12,"8.94","","","1","",""
00051,3,"8.94","","","1","",""
00052,6,"8.94","","","1","",""
00053,6,"8.94","","","1","",""
00054,4,"8.94","","","1","",""
00055,5,"8.94","","","1","",""
00056,11,"8.25","","","1","",""
00057,6,"17.52","","","1","",""
00061,5,"18.53","","","1","",""
00061030,24,"3.86","","","1","",""
00061270,24,"3.86","","","1","",""
00061660,0,"4.71","","","1","",""
00062,3,"15.00","","","1","",""
00062410,25,"4.09","","","1","",""
00064,5,"15.00","","","1","",""
00066095,36,"4.89","","","1","",""
00066850,34,"3.60","","","1","",""
00066860,36,"5.00","","","1","",""
00066865,38,"7.50","","","1","",""
00066871,0,"4.47","","","1","",""
00066874,25,"5.60","","","1","",""
00066878,36,"6.31","","","1","",""
00067070,0,"4.07","","","1","",""
00067080,36,"6.52","","","1","",""
00067085,41,"4.07","","","1","",""
00067178,66,"5.30","","","1","",""
00067187,72,"4.21","","","1","",""
00067200,25,"6.52","","","1","",""
00067201,36,"7.95","","","1","",""
00067300,72,"6.30","","","1","",""
00067600,3,"4.90","","","1","",""
00067601,0,"10.61","","","1","",""
000934,2,"350.95","","","1","",""
00098,8,"7.99","","","1","",""
00099,11,"7.99","","","1","",""
00110,31,"10.18","","","1","",""
00111,8,"10.18","","","1","",""
00113,38,"10.18","","","1","",""
00114,28,"10.18","","","1","",""
001153,4,"59.95","","","1","",""
001154,0,"78.95","","","1","",""
001373,5,"63.95","","","1","",""
001392,5,"121.95","","","1","",""
001485,2,"23.95","","","1","",""
00151001152,6,"13.95","","","1","",""
00153M,11,"26.95","","","1","",""
00160C,0,"12.13","","","1","",""
00161001151,12,"7.95","","","1","",""
00166,6,"5.35","","","1","",""
00167,6,"6.59","","","1","",""
00168Z,6,"8.04","","","1","",""
00177S,4,"77.00","","","1","",""
00181,20,"6.38","","","1","",""
001BA1RZ0,0,"53.13","","","1","",""
001BA3NZ0,2,"53.13","","","1","",""
001BAB6Z0,0,"53.13","","","1","",""
001TA1IZ0,2,"50.36","","","1","",""
001TA1RZ0,2,"53.13","","","1","",""
001TA5QZ0,0,"53.36","","","1","",""
001TA8HZ0,1,"53.13","","","1","",""
001TAB6Z0,2,"53.13","","","1","",""
001TAE1Z0,2,"53.13","","","1","",""
001TAM9Z0,1,"53.13","","","1","",""
001TAX7Z0,2,"53.13","","","1","",""
00260,29,"3.28","","","1","",""
00261,8,"4.39","","","1","",""
00268,18,"3.51","","","1","",""
00299,12,"3.28","","","1","",""
002BA1IZ0,0,"49.26","","","1","",""
002BA1JZ0,1,"52.02","","","1","",""
002BA1RZ0,2,"52.02","","","1","",""
002BA21Z0,2,"52.02","","","1","",""
002BA3NZ0,0,"49.26","","","1","",""
002BA5QZ0,0,"52.02","","","1","",""
002BA7QZ0,2,"52.02","","","1","",""
002BA88Z0,1,"52.02","","","1","",""
002BAB2Z0,1,"52.02","","","1","",""
002BAE1Z0,1,"37.95","","","1","",""
002BAE8Z0,0,"47.76","","","1","",""
002BAI6Z0,3,"52.02","","","1","",""
002BAM9Z0,2,"52.02","","","1","",""
002BAN3Z0,1,"52.02","","","1","",""
002BAN7Z0,3,"52.02","","","1","",""
002BAP5Z0,3,"52.02","","","1","",""
002BAV1Z0,1,"52.02","","","1","",""
002BAV4Z0,0,"51.26","","","1","",""
002BAX7Z0,1,"52.02","","","1","",""
002TA1IZ0,1,"39.95","","","1","",""
002TA1JZ0,1,"52.02","","","1","",""
002TA3NZ0,0,"49.26","","","1","",""
002TA5QZ0,1,"52.02","","","1","",""
002TA7QZ0,1,"52.02","","","1","",""
002TA88Z0,2,"52.02","","","1","",""
002TA8HZ0,1,"52.02","","","1","",""
002TAB6Z0,1,"52.02","","","1","",""
002TAE1Z0,2,"52.02","","","1","",""
002TAM9Z0,1,"52.02","","","1","",""
002TAX7Z0,1,"52.02","","","1","",""
00321,4,"5.50","","","1","",""
00322,11,"5.50","","","1","",""
00323,7,"5.50","","","1","",""
00324,11,"5.50","","","1","",""
00401,5,"18.64","","","1","",""
00402,8,"18.64","","","1","",""
00406,7,"18.64","","","1","",""
00408,6,"18.64","","","1","",""
00631,21,"5.77","","","1","",""
00639,0,"8.83","","","1","",""
00643,18,"4.43","","","1","",""
00645,8,"19.93","","","1","",""
00655,2,"12.21","","","1","",""
00656,5,"12.21","","","1","",""
00657,20,"12.21","","","1","",""
00658,14,"12.21","","","1","",""
00659,0,"12.21","","","1","",""
00660,2,"12.21","","","1","",""
00661,0,"12.21","","","1","",""
00662,0,"12.21","","","1","",""
00664,0,"12.21","","","1","",""
00665,0,"12.21","","","1","",""
00666,2,"12.21","","","1","",""
00710H,0,"17.26","","","1","",""
00720H,0,"17.26","","","1","",""
00721H,0,"17.26","","","1","",""
00730H,0,"17.26","","","1","",""
00731H,0,"17.26","","","1","",""
00791,5,"1.64","","","1","",""
00813,2,"26.94","","","1","",""
00849,12,"9.85","","","1","",""
01000186,5,"77.07","","","1","",""
01001601,4,"20.95","","","1","",""
01001701,5,"20.95","","","1","",""
01001801,17,"20.95","","","1","",""
0100201,5,"14.95","","","1","",""
0100301,6,"14.95","","","1","",""
