available,category,desc1,desc2,itemnumber,manufacturer,mfgpnumber,msrp,price1,price2,price3,qty1,qty2,qty3,upc,weight,serialized,mapprice
"8","RECOIL PADS","PACHMAYR RECOIL PAD F325 LARGE","WHITE LINE BLACK","00001","Pachmayr","00001","41.5","23.80","","","1","","","034337000013","0.470","NO",""
"0","RECOIL PADS","PACHMAYR RECOIL PAD F325 LARGE","WHITE LINE BROWN","00002","Pachmayr","00002","41.5","23.80","","","1","","","034337000020","0.505","NO",""
"8","RECOIL PADS","PACHMAYR RECOIL PAD F325","MEDIUM WHITE LINE BLACK","00006","Pachmayr","00006","41.5","23.80","","","1","","","034337000068","0.430","NO",""
"4","RECOIL PADS","PACHMAYR RECOIL PAD F325","MEDIUM WHITE LINE BROWN","00007","Pachmayr","00007","41.5","23.80","","","1","","","034337000075","0.435","NO",""
"12","RECOIL PADS","PACHMAYR RECOIL PAD F325 SMALL","WHITE LINE BLACK","00010","Pachmayr","00010","41.5","23.80","","","1","","","034337000105","0.405","NO",""
"3","RECOIL PADS","PACHMAYR RECOIL PAD F325 SMALL","WHITE LINE BROWN","00011","Pachmayr","00011","41.5","23.80","","","1","","","034337000112","0.385","NO",""
"2053","MAGAZINES (REPLACEMENT)","BERETTA MAGAZINE 96F/96G 40SW","11RD BLUED STEEL(SURPLUS)","00012297","Beretta","00012297","32","8.95","","","1","","","","0.200","NO",""
"5","SNAP CAPS","CARLSONS SNAP CAP 17HMR","ALUMINUM 6PK","00048","Carlson","00048","13.5","8.26","","","1","","","723189000486","0.100","NO","11.49"
"6","SNAP CAPS","CARLSONS SNAP CAP .45LONG COLT","ALUMINUM 6PK","00049","Carlson","00049","27.95","17.80","","","1","","","723189000493","0.210","NO","23.99"
"12","SNAP CAPS","CARLSONS SNAP CAP .223","ALUMINUM 2PK","00050","Carlson","00050","12.5","8.94","","","1","","","723189000509","0.100","NO","10.99"
"3","SNAP CAPS","CARLSONS SNAP CAP .243","ALUMINUM 2PK","00051","Carlson","00051","12.5","8.94","","","1","","","723189000516","0.150","NO","10.99"
"6","SNAP CAPS","CARLSONS SNAP CAP .270","ALUMINUM 2PK","00052","Carlson","00052","12.5","8.94","","","1","","","723189000523","0.150","NO","10.99"
"6","SNAP CAPS","CARLSONS SNAP CAP .308","ALUMINUM 2PK","00053","Carlson","00053","12.5","8.94","","","1","","","723189000530","0.150","NO","10.99"
"4","SNAP CAPS","CARLSONS SNAP CAP .30/30","ALUMINUM 2PK","00054","Carlson","00054","12.5","8.94","","","1","","","723189000547","0.150","NO","10.99"
"5","SNAP CAPS","CARLSONS SNAP CAP .30-06","ALUMINUM 2PK","00055","Carlson","00055","12.5","8.94","","","1","","","723189000554","0.150","NO","10.99"
"11","SNAP CAPS","CARLSONS SNAP CAP .22 RIMFIRE","ALUMINUM 6PK","00056","Carlson","00056","13.5","8.25","","","1","","","723189000561","0.100","NO","11.49"
"6","SNAP CAPS","CARLSONS SNAP CAP .38/.357","ALUMINUM 6PK","00057","Carlson","00057","25.95","17.52","","","1","","","723189000578","0.140","NO","22.49"
"5","SNAP CAPS","CARLSONS SNAP CAP .44MAG","ALUMINUM 6PK","00061","Carlson","00061","27.95","18.53","","","1","","","723189000615","0.200","NO","23.99"
"24","INSECT REPELLANT","ARB AFTER BITE OUTDOOR BITE &","STING RELIEF .5OZ GEL FORMULA","00061030","ARB","00061030","4.99","3.86","","","1","","","044224610300","0.100","NO","4.99"
"24","INSECT REPELLANT","ARB AFTER BITE XTRA BITE","TREATMENT .5OZ GEL","00061270","ARB","00061270","4.99","3.86","","","1","","","044224612700","0.050","NO","4.99"
"0","INSECT REPELLANT","ARB AFTER BITE NATURAL BALM","BITE TREATMENT .65OZ BALM","00061660","ARB","00061660","5.99","4.71","","","1","","","044224616609","0.100","NO","5.99"
"3","SNAP CAPS","CARLSONS SNAP CAP .45ACP","ALUMINUM 5PK","00062","Carlson","00062","21.95","15.00","","","1","","","723189000622","0.200","NO","18.99"
"25","INSECT REPELLANT","ARB THE ITCH ERASER SPRAY .95","OZ POISON IVY OAK & SUMAC","00062410","ARB","00062410","6.99","4.09","","","1","","","044224624109","0.150","NO","6.99"
"5","SNAP CAPS","CARLSONS SNAP CAP .40S&W","ALUMINUM 5PK","00064","Carlson","00064","21.95","15.00","","","1","","","723189000646","0.150","NO","18.99"
"36","INSECT REPELLANT","ARB NATRAPEL PICARIDIN WIPES","12 WIPES PER BOX","00066095","ARB","00066095","8.49","4.89","","","1","","","044224060952","0.140","NO","8.49"
"34","INSECT REPELLANT","ARB NATRAPEL 20% PICARIDIN","1 OZ PUMP BUG SPRAY","00066850","ARB","00066850","4.99","3.60","","","1","","","044224068507","0.150","NO","4.99"
"36","INSECT REPELLANT","ARB NATRAPEL 30% OIL LEMON","EUCALYPTUS 3.4OZ PUMP BUG SPRY","00066860","ARB","00066860","8.49","5.00","","","1","","","044224068606","0.100","NO","8.49"
"38","INSECT REPELLANT","ARB NATRAPEL 30% OIL LEMON","EUCALYPTUS 6OZ AEROSOL SPRAY","00066865","ARB","00066865","12.99","7.50","","","1","","","044224068651","0.450","NO","12.99"
"0","INSECT REPELLANT","ARB NATRAPEL 20% PICARIDIN","3.4 OZ PUMP BUG SPRAY","00066871","ARB","00066871","7.99","4.47","","","1","","","044224068712","0.300","NO","7.99"
"25","INSECT REPELLANT","ARB NATRAPEL ESSENTIAL OIL","PETS & PPL INSECT REPELLENT","00066874","ARB","00066874","9.49","5.60","","","1","","","044224068743","0.300","NO","9.49"
"36","INSECT REPELLANT","ARB NATRAPEL 20% PICARIDIN","6OZ CONTINUOUS BUG SPRAY","00066878","ARB","00066878","10.79","6.31","","","1","","","044224068781","0.500","NO","10.79"
"0","INSECT REPELLANT","ARB BEN'S 100 INSECT REPELLENT","100% DEET 1.25OZ PUMP (CARDED)","00067070","ARB","00067070","6.99","4.07","","","1","","","044224102058","0.150","NO","6.99"
"36","INSECT REPELLANT","ARB BEN'S 100 INSECT REPELLENT","100% DEET 3.4OZ PUMP (CARDED)","00067080","ARB","00067080","10.99","6.52","","","1","","","044224070807","0.290","NO","10.99"
"41","INSECT REPELLANT","ARB BEN'S 30 INSECT REPELLENT","30% DEET WIPES 12 WIPES PERBOX","00067085","ARB","00067085","6.79","4.07","","","1","","","044224070852","0.170","NO","6.79"
"66","INSECT REPELLANT","ARB BEN'S 30 INSECT REPELLENT","30% DEET 6OZ ECO SPRAY","00067178","ARB","00067178","8.79","5.30","","","1","","","044224671783","0.500","NO","8.79"
"72","INSECT REPELLANT","ARB BEN'S 30 INSECT REPELLENT","30% DEET 3.4OZ PUMP (CARDED)","00067187","ARB","00067187","6.99","4.21","","","1","","","044224071873","0.350","NO","6.99"
"25","INSECT REPELLANT","ARB BEN'S INVISINET HEADNET","ULTRA HIGH VISIBILITY .7 OZ","00067200","ARB","00067200","11.99","6.52","","","1","","","044224072009","0.100","NO","11.99"
"36","INSECT REPELLANT","ARB BEN'S ULTRANET HEADNET","NO-SEE-UM PROTECTION 1.0 OZ","00067201","ARB","00067201","13.99","7.95","","","1","","","044224072016","0.100","NO","13.99"
"72","INSECT REPELLANT","ARB BEN'S TICK REPELLENT 6 OZ","ECO-SPRAY","00067300","ARB","00067300","10.99","6.30","","","1","","","044224073006","0.490","NO","10.99"
